ID,Lobe_Furrow,Area,Circularity,GedesicDiameter
S5_IN1,Lobe,1184.235,0.171,128.596
S5_IN1,Lobe,1446.669,0.391,91.382
S5_IN1,Lobe,1259.24,0.637,60.809
S5_IN1,Lobe,1875.526,0.396,100.835
S5_IN1,Lobe,1474.118,0.529,77.267
S5_IN1,Lobe,1943.597,0.406,98.023
S5_IN1,Lobe,1839.735,0.582,79.794
S5_IN1,Lobe,1510.535,0.59,73.205
S5_IN1,Lobe,1805.318,0.515,82.059
S5_IN1,Lobe,1528.761,0.453,82.554
S5_IN1,Lobe,993.839,0.541,62.398
S5_IN1,Lobe,1875.763,0.54,85.497
S5_IN1,Lobe,1304.423,0.41,87.997
S5_IN1,Lobe,1671.414,0.492,79.95
S5_IN1,Lobe,1739.638,0.534,73.882
S5_IN1,Lobe,1230.57,0.525,66.486
S5_IN1,Lobe,2181.753,0.47,98.934
S5_IN1,Lobe,1592.085,0.584,74.663
S5_IN1,Lobe,1874.203,0.447,95.757
S5_IN1,Lobe,1880.595,0.529,83.075
S5_IN1,Lobe,1592.322,0.553,76.616
S5_IN1,Lobe,1206.529,0.651,59.169
S5_IN1,Lobe,1481.628,0.54,73.361
S5_IN1,Lobe,1869.507,0.477,95.288
S5_IN1,Lobe,1356.625,0.652,58.674
S5_IN1,Lobe,1683.282,0.616,70.132
S5_IN1,Lobe,2136.773,0.414,104.195
S5_IN1,Lobe,2352.108,0.487,98.752
S5_IN1,Lobe,1369.629,0.597,59.767
S5_IN1,Lobe,1518.046,0.525,72.372
S5_IN1,Lobe,1807.556,0.579,68.231
S5_IN1,Lobe,1750.658,0.494,91.434
S5_IN1,Lobe,1724.04,0.522,82.997
S5_IN1,Lobe,1940.867,0.466,93.049
S5_IN1,Lobe,1686.164,0.541,76.46
S5_IN1,Lobe,1544.749,0.62,69.663
S5_IN1,Lobe,1100.159,0.645,54.481
S5_IN1,Lobe,2559.831,0.5,104.403
S5_IN1,Lobe,1710.697,0.493,87.085
S5_IN1,Lobe,1646.169,0.58,76.33
S5_IN1,Lobe,1021.169,0.453,69.846
S5_IN1,Lobe,2144.487,0.336,125.106
S5_IN1,Lobe,1784.041,0.479,87.007
S5_IN1,Lobe,2379.54,0.409,113.908
S5_IN1,Lobe,1540.731,0.495,77.502
S5_IN1,Lobe,1349.521,0.625,62.007
S5_IN1,Lobe,2590.552,0.521,90.575
S5_IN1,Lobe,2752.855,0.411,122.528
S5_IN1,Lobe,3746.185,0.384,151.096
S5_IN1,Lobe,1519.979,0.614,69.794
S5_IN1,Lobe,1402.842,0.402,91.356
S5_IN1,Lobe,2413.059,0.419,118.752
S5_IN1,Lobe,1740.384,0.491,82.736
S5_IN1,Lobe,2066.023,0.431,105.497
S5_IN1,Lobe,1098.209,0.557,64.611
S5_IN1,Lobe,2606.286,0.404,115.575
S5_IN1,Lobe,1998.749,0.502,87.241
S5_IN1,Lobe,1464.996,0.393,97.32
S5_IN1,Lobe,2686.954,0.294,154.299
S5_IN1,Lobe,2046.017,0.488,97.866
S5_IN1,Lobe,1756.337,0.483,82.294
S5_IN1,Lobe,1220.178,0.607,62.866
S5_IN1,Lobe,2111.952,0.441,100.783
S5_IN1,Lobe,977.105,0.475,68.153
S5_IN1,Lobe,766.551,0.388,66.903
S5_IN1,Lobe,2078.552,0.412,107.111
S5_IN1,Lobe,1527.218,0.515,81.564
S5_IN1,Lobe,1532.254,0.519,77.866
S5_IN1,Lobe,929.396,0.539,56.382
S5_IN1,Lobe,1380.327,0.31,96.382
S5_IN1,Lobe,3451.453,0.428,129.038
S5_IN1,Lobe,2181.786,0.36,120.288
S5_IN1,Lobe,2671.39,0.451,108.491
S5_IN1,Lobe,1704.898,0.507,84.663
S5_IN1,Lobe,1457.418,0.57,65.236
S5_IN1,Lobe,1504.178,0.235,122.71
S5_IN1,Lobe,2364.519,0.435,93.57
S5_IN1,Lobe,2027.418,0.364,105.575
S5_IN1,Lobe,1558.889,0.383,95.549
S5_IN1,Lobe,1420.407,0.585,70.106
S5_IN1,Lobe,2638.312,0.466,108.83
S5_IN1,Lobe,2291.836,0.514,94.611
S5_IN1,Lobe,565.101,0.561,44.403
S5_IN1,Lobe,2307.027,0.463,96.616
S5_IN1,Lobe,2752.584,0.417,118.153
S5_IN1,Lobe,1439.141,0.517,75.523
S5_IN1,Lobe,843.828,0.397,73.023
S5_IN1,Lobe,2432.895,0.44,111.174
S5_IN1,Lobe,2380.032,0.621,87.84
S5_IN1,Lobe,1654.138,0.576,79.429
S5_IN1,Lobe,3332.943,0.332,150.419
S5_IN1,Lobe,2090.2,0.647,74.637
S5_IN1,Furrow,635.043,0.607,32.859
S5_IN1,Furrow,1785.437,0.671,53.705
S5_IN1,Furrow,1362.623,0.77,43.017
S5_IN1,Furrow,1611.244,0.586,59.128
S5_IN1,Furrow,1904.184,0.704,66.8
S5_IN1,Furrow,2536.952,0.619,77.329
S5_IN1,Furrow,1285.535,0.721,46.615
S5_IN1,Furrow,1270.366,0.662,51.959
S5_IN1,Furrow,1094.196,0.661,46.298
S5_IN1,Furrow,1156.535,0.622,51.192
S5_IN1,Furrow,1444.645,0.386,84.022
S5_IN1,Furrow,2101.996,0.74,60.98
