file name,Lobe_Furrow,ROI number,x-coordinate of ROI centre,y-coordinate of ROI centre,ROI surface area,Angle,anisotropy,coordinates of ROI vertices,,,,,,,,,,,,,,,,,,,,,
IND17_IN1_#2_max40-45.tif,Furrow,94,938.9,543.59,51292,-51.17,0.1612,892,772,1020,632,1004,324,888,360,884,584,832,668,,,,,,,,,,
IND17_IN1_#2_max40-45.tif,Furrow,95,1131.23,770.06,40524,-72.21,0.133,1084,912,1212,840,1244,720,1228,664,1056,656,1044,772,1024,848,,,,,,,,
IND17_IN1_#2_max40-45.tif,Furrow,96,1409.96,604.22,48054,-31.25,0.1799,1292,688,1272,652,1316,576,1324,488,1440,460,1524,584,1528,692,1456,744,1404,696,1348,704,,
IND17_IN1_#2_max40-45.tif,Furrow,97,1351.09,836.59,29824,31.15,0.1199,1324,960,1416,908,1452,784,1376,732,1284,752,1256,860,,,,,,,,,,
IND17_IN1_#2_max40-45.tif,Furrow,98,1153.28,436.11,55274,-61.35,0.1731,1072,576,1224,604,1268,440,1184,260,1052,296,,,,,,,,,,,,
IND17_IN1_#2_max40-45.tif,Furrow,99,1443.22,1100.76,34682,-77.28,0.105,1420,1248,1360,1144,1364,1016,1448,952,1560,1132,,,,,,,,,,,,
IND17_IN1_#2_max40-45.tif,Furrow,100,1510.72,1912.21,46352,-0.58,0.0159,1500,2156,1560,2064,1592,1784,1532,1728,1432,1756,1460,2060,,,,,,,,,,
IND17_IN1_#2_max40-45.tif,Furrow,101,1554.9,1331.34,25446,-20.5,0.0984,1588,1424,1444,1372,1472,1284,1556,1240,1676,1308,,,,,,,,,,,,
IND17_IN1_#2_max40-45.tif,Furrow,102,1494.55,1519.4,21630,50.17,0.1076,1552,1612,1580,1472,1436,1424,1412,1572,,,,,,,,,,,,,,
IND17_IN1_#2_max40-45.tif,Furrow,103,739.37,483.75,39534,-87.29,0.2561,668,612,776,612,856,392,840,352,660,404,632,480,,,,,,,,,,
IND17_IN1_#5_max36-49.tif,Furrow,104,1396.44,1458.89,39552,-59.63,0.1148,1410,1617,1488,1554,1452,1341,1407,1305,1326,1338,1308,1428,1335,1560,,,,,,,,
IND17_IN1_#5_max36-49.tif,Furrow,105,1557.2,1367.23,38967,-18.54,0.1652,1542,1533,1470,1299,1488,1197,1581,1209,1623,1404,1659,1446,1629,1524,,,,,,,,
