file name,Lobe_Furrow,ROI number,x-coordinate of ROI centre,y-coordinate of ROI centre,ROI surface area,Angle,anisotropy,coordinates of ROI vertices,,,,,,,,,,,,,,,,,,,,,,,
IND9_IN3_#1_max10-18.tif,Furrow,123,152.23,1631.33,32865,-79.54,0.3211,108,1752,201,1776,243,1635,150,1488,69,1500,,,,,,,,,,,,,,
IND9_IN3_#1_max10-18.tif,Furrow,124,309.06,1474.06,50187,-75.79,0.2148,171,1431,279,1593,441,1614,423,1434,204,1308,,,,,,,,,,,,,,
IND9_IN3_#1_max10-18.tif,Furrow,125,542.68,1400.01,35859,-49.72,0.1682,453,1422,504,1593,621,1407,657,1320,519,1251,,,,,,,,,,,,,,
IND9_IN3_#1_max10-18.tif,Furrow,126,826.43,1343.36,48264,5.86,0.1863,696,1419,762,1482,924,1422,954,1326,867,1176,735,1284,,,,,,,,,,,,
IND9_IN3_#1_max10-18.tif,Furrow,127,1092.03,1503.54,44487,-78.32,0.3016,1056,1632,990,1470,1014,1350,1110,1338,1170,1515,1200,1593,1191,1665,,,,,,,,,,
IND9_IN3_#1_max10-18.tif,Furrow,128,473.56,2069.75,38337,0.17,0.2656,402,2151,459,2190,555,2187,585,2124,510,1962,468,1926,411,1941,375,2034,,,,,,,,
IND9_IN3_#1_max10-18.tif,Furrow,129,1163.33,2067.9,32493,55.37,0.2466,1020,2097,1071,2166,1260,2115,1293,1998,1167,1968,,,,,,,,,,,,,,
IND9_IN3_#1_max10-18.tif,Furrow,130,1418.5,2044.61,27657,86.58,0.1801,1317,2127,1368,2175,1524,2031,1527,1971,1371,1938,1365,2013,,,,,,,,,,,,
IND9_IN3_#1_max10-18.tif,Furrow,131,85.03,2053.46,33744,82.67,0.1794,150,2166,168,2004,63,1896,15,1944,24,2184,165,2172,,,,,,,,,,,,
IND9_IN3_#1_max10-18.tif,Furrow,132,262.76,2118.81,16818,-78.73,0.1414,195,2187,210,2043,324,2055,327,2184,,,,,,,,,,,,,,,,
IND9_IN3_#3_max1-7.tif,Furrow,141,363.69,1599.61,39255,68.65,0.2349,228,1638,375,1722,456,1662,486,1464,297,1551,219,1554,,,,,,,,,,,,
IND9_IN3_#3_max1-7.tif,Furrow,142,277.47,1882.71,69240,-54.22,0.2477,114,1806,303,2097,354,2097,405,1992,360,1764,225,1683,,,,,,,,,,,,
IND9_IN3_#3_max1-7.tif,Furrow,143,558.29,1878.96,67713,32.29,0.1963,417,1773,453,1965,615,2073,663,2046,675,1872,651,1719,540,1749,477,1710,,,,,,,,
IND9_IN3_#3_max1-7.tif,Furrow,144,604.65,1498.25,53196,-22.8,0.1825,507,1653,591,1692,660,1656,696,1479,645,1278,564,1305,,,,,,,,,,,,
IND9_IN3_#3_max1-7.tif,Furrow,145,966.4,1883.58,42453,-80.57,0.212,933,2091,1011,2100,1023,1683,942,1659,897,1923,,,,,,,,,,,,,,
IND9_IN3_#3_max1-7.tif,Furrow,146,779.66,1710.8,36312,-67.75,0.1915,717,1833,843,1833,873,1632,741,1569,690,1674,,,,,,,,,,,,,,
IND9_IN3_#3_max1-7.tif,Furrow,147,804.08,2030.05,36810,8.24,0.0845,780,2151,717,2055,720,1899,861,1917,900,2163,,,,,,,,,,,,,,
IND9_IN3_#3_max1-7.tif,Furrow,148,94.74,1573.66,31743,29.12,0.2656,90,1704,177,1632,201,1548,30,1422,18,1653,,,,,,,,,,,,,,
IND9_IN3_#3_max1-9.tif,Furrow,149,1644.99,215.33,55065,84.32,0.1027,1509,306,1509,309,1605,360,1740,297,1767,243,1776,81,1542,117,,,,,,,,,,
