ROI number,Cell_Type,Angle,Stage
110,Epidermis,1.1,S3
111,Epidermis,-6.71,S3
112,Epidermis,2.47,S3
113,Epidermis,35.65,S3
114,Epidermis,-6.59,S3
115,Epidermis,19.94,S3
116,Epidermis,44.04,S3
117,Epidermis,54.32,S3
118,Epidermis,-5.46,S3
119,Epidermis,30.93,S3
120,Epidermis,-43.77,S3
121,Epidermis,85.25,S3
122,Epidermis,-7.29,S3
123,Epidermis,-27.85,S3
124,Epidermis,59.53,S3
125,Epidermis,51.26,S3
126,Epidermis,-57.1,S3
127,Epidermis,85.23,S3
128,Epidermis,-64.64,S3
129,Epidermis,-53.51,S3
130,Epidermis,-81.12,S3
131,Epidermis,86.36,S3
132,Epidermis,-65.58,S3
133,Epidermis,-43.26,S3
134,Epidermis,35.69,S3
135,Epidermis,16.53,S3
136,Epidermis,-72.63,S3
137,Epidermis,-77.45,S3
138,Epidermis,66.73,S3
139,Epidermis,-73.88,S3
80,Epidermis,24.93,S3
81,Epidermis,-33.3,S3
82,Epidermis,31.52,S3
83,Epidermis,27.95,S3
84,Epidermis,8.48,S3
85,Epidermis,-14.48,S3
86,Epidermis,-3.36,S3
87,Epidermis,-25.99,S3
88,Epidermis,20.86,S3
89,Epidermis,-40.72,S3
90,Epidermis,-50.18,S3
91,Epidermis,-25.47,S3
92,Epidermis,-30.51,S3
93,Epidermis,-6.46,S3
94,Epidermis,39.11,S3
95,Epidermis,-46.3,S3
96,Epidermis,-46.3,S3
97,Epidermis,-5.16,S3
98,Epidermis,5.96,S3
99,Epidermis,-4.16,S3
100,Epidermis,9.63,S3
101,Epidermis,19.69,S3
102,Epidermis,19.74,S3
103,Epidermis,-61.46,S3
104,Epidermis,83.66,S3
105,Epidermis,-48.2,S3
106,Epidermis,8,S3
107,Epidermis,-23.67,S3
108,Epidermis,-50.25,S3
109,Epidermis,84.72,S3
62,Epidermis,-28.87,S3
63,Epidermis,-13.82,S3
64,Epidermis,65.79,S3
65,Epidermis,-32.63,S3
66,Epidermis,81.3,S3
67,Epidermis,-35.88,S3
68,Epidermis,-16.58,S3
69,Epidermis,25.55,S3
70,Epidermis,-38.5,S3
71,Epidermis,-16.99,S3
72,Epidermis,-69.48,S3
73,Epidermis,-34.16,S3
74,Epidermis,15.57,S3
75,Epidermis,-16.82,S3
76,Epidermis,4.95,S3
77,Epidermis,-2.22,S3
78,Epidermis,-19.17,S3
79,Epidermis,-23.46,S3
80,Epidermis,39,S3
81,Epidermis,-1.59,S3
10,Epidermis,-58.32,S3
11,Epidermis,-76.14,S3
12,Epidermis,88.17,S3
13,Epidermis,35.74,S3
14,Epidermis,-62.84,S3
15,Epidermis,-84.62,S3
16,Epidermis,-82.84,S3
17,Epidermis,64.51,S3
18,Epidermis,-19.83,S3
19,Epidermis,49.5,S3
1,Epidermis,76.19,S5
2,Epidermis,-88.07,S5
3,Epidermis,84.22,S5
4,Epidermis,80.56,S5
5,Epidermis,-85.59,S5
6,Epidermis,-81.22,S5
7,Epidermis,85.35,S5
8,Epidermis,-78.01,S5
9,Epidermis,73.93,S5
10,Epidermis,-68.63,S5
11,Epidermis,-86.8,S5
12,Epidermis,88.49,S5
13,Epidermis,-77.52,S5
14,Epidermis,-88.48,S5
15,Epidermis,86.9,S5
16,Epidermis,78.35,S5
17,Epidermis,-81.93,S5
18,Epidermis,-88.1,S5
19,Epidermis,-85.17,S5
20,Epidermis,74.93,S5
21,Epidermis,-81.58,S5
22,Epidermis,53.52,S5
23,Epidermis,71.87,S5
24,Epidermis,-72.47,S5
25,Epidermis,88.75,S5
26,Epidermis,82.44,S5
27,Epidermis,-86.25,S5
28,Epidermis,-85.55,S5
29,Epidermis,-89.63,S5
30,Epidermis,89.54,S5
176,Epidermis,-85.51,S5
177,Epidermis,-76.75,S5
178,Epidermis,-89.52,S5
179,Epidermis,-89.13,S5
180,Epidermis,-79.04,S5
181,Epidermis,-52.55,S5
182,Epidermis,-52.26,S5
183,Epidermis,-80.6,S5
184,Epidermis,85.87,S5
185,Epidermis,-77.05,S5
186,Epidermis,-70.69,S5
187,Epidermis,-60.57,S5
188,Epidermis,-75.82,S5
189,Epidermis,80.19,S5
190,Epidermis,-83.94,S5
191,Epidermis,-59.83,S5
192,Epidermis,-72.75,S5
193,Epidermis,-82.75,S5
194,Epidermis,-71.15,S5
195,Epidermis,86.36,S5
196,Epidermis,-74.13,S5
197,Epidermis,-74.66,S5
198,Epidermis,-78.86,S5
199,Epidermis,81.49,S5
200,Epidermis,-85.61,S5
201,Epidermis,-78.26,S5
202,Epidermis,-68.45,S5
203,Epidermis,-51.94,S5
204,Epidermis,71.81,S5
205,Epidermis,-85.07,S5
208,Epidermis,-87.77,S5
209,Epidermis,-71.96,S5
210,Epidermis,-77.73,S5
211,Epidermis,-75.26,S5
212,Epidermis,-76.86,S5
213,Epidermis,81.01,S5
214,Epidermis,-61.88,S5
215,Epidermis,-86.08,S5
216,Epidermis,-84.79,S5
217,Epidermis,-72.23,S5
218,Epidermis,-80.15,S5
219,Epidermis,80.93,S5
220,Epidermis,-47.72,S5
221,Epidermis,-85.19,S5
222,Epidermis,76.49,S5
223,Epidermis,-83.35,S5
224,Epidermis,86.56,S5
225,Epidermis,74.95,S5
226,Epidermis,-73.82,S5
227,Epidermis,-87.61,S5
228,Epidermis,-66.61,S5
229,Epidermis,54.11,S5
230,Epidermis,-79.85,S5
231,Epidermis,-52.74,S5
232,Epidermis,-86.13,S5
233,Epidermis,-89.6,S5
234,Epidermis,-63.27,S5
235,Epidermis,-68.25,S5
236,Epidermis,85.04,S5
237,Epidermis,89.25,S5
238,Epidermis,76.03,S5
239,Epidermis,82.77,S5
240,Epidermis,-63.26,S5
241,Epidermis,-77.9,S5
242,Epidermis,-84.34,S5
243,Epidermis,-60.77,S5
244,Epidermis,71.77,S5
245,Epidermis,-56.8,S5
246,Epidermis,88.1,S5
247,Epidermis,-69.93,S5
248,Epidermis,-85.18,S5
249,Epidermis,-73.65,S5
250,Epidermis,59.85,S5
251,Epidermis,-62.35,S5
252,Epidermis,86.51,S5
253,Epidermis,-66.94,S5
254,Epidermis,88.25,S5
255,Epidermis,-58.13,S5
256,Epidermis,-53.42,S5
257,Epidermis,79.93,S5
258,Epidermis,-62.91,S5
259,Epidermis,88,S5
260,Epidermis,-49.82,S5
261,Epidermis,-57.06,S5
262,Epidermis,-72.67,S5
263,Epidermis,74.37,S5
264,Epidermis,-69.51,S5
265,Epidermis,80.08,S5
266,Epidermis,-83.17,S5
267,Epidermis,-71.39,S5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
