ROI number,Cell_Type,Angle,Stage
228,Epidermis,63.23,S5
229,Epidermis,78.91,S5
230,Epidermis,-89.71,S5
231,Epidermis,-86.93,S5
232,Epidermis,61.95,S5
233,Epidermis,-77.47,S5
234,Epidermis,-70.11,S5
235,Epidermis,39.01,S5
236,Epidermis,60.32,S5
237,Epidermis,-53.86,S5
238,Epidermis,-88.83,S5
239,Epidermis,15.57,S5
240,Epidermis,57.93,S5
241,Epidermis,53.05,S5
242,Epidermis,-5.6,S5
243,Epidermis,-83.85,S5
244,Epidermis,85.27,S5
245,Epidermis,-38.67,S5
246,Epidermis,-31.84,S5
247,Epidermis,-0.55,S5
248,Epidermis,-86.94,S5
249,Epidermis,-72.41,S5
250,Epidermis,-65.45,S5
251,Epidermis,-57.38,S5
252,Epidermis,65.72,S5
253,Epidermis,-61.63,S5
254,Epidermis,61.62,S5
255,Epidermis,-83.92,S5
256,Epidermis,-32.92,S5
257,Epidermis,-21.58,S5
31,Epidermis,61.07,S5
32,Epidermis,-44.18,S5
33,Epidermis,86.24,S5
34,Epidermis,-13.3,S5
35,Epidermis,-58.21,S5
36,Epidermis,-73.63,S5
37,Epidermis,58.8,S5
38,Epidermis,2.7,S5
39,Epidermis,13.52,S5
40,Epidermis,58.69,S5
41,Epidermis,60.9,S5
42,Epidermis,-42.23,S5
43,Epidermis,86.95,S5
44,Epidermis,-3.59,S5
45,Epidermis,-16.54,S5
46,Epidermis,-34.12,S5
47,Epidermis,8.4,S5
48,Epidermis,-29.99,S5
49,Epidermis,33.84,S5
50,Epidermis,68.98,S5
51,Epidermis,27.53,S5
52,Epidermis,3.62,S5
53,Epidermis,4.92,S5
54,Epidermis,71.47,S5
55,Epidermis,-61.88,S5
56,Epidermis,-86.94,S5
57,Epidermis,63.35,S5
58,Epidermis,-71.52,S5
59,Epidermis,86.85,S5
60,Epidermis,31,S5
94,Epidermis,-51.17,S5
95,Epidermis,-72.21,S5
96,Epidermis,-31.25,S5
97,Epidermis,31.15,S5
98,Epidermis,-61.35,S5
99,Epidermis,-77.28,S5
100,Epidermis,-0.58,S5
101,Epidermis,-20.5,S5
102,Epidermis,50.17,S5
103,Epidermis,-87.29,S5
104,Epidermis,-59.63,S5
105,Epidermis,-18.54,S5
106,Epidermis,72.97,S5
107,Epidermis,13.12,S5
108,Epidermis,-84.22,S5
109,Epidermis,-27.07,S5
110,Epidermis,85.97,S5
111,Epidermis,58.15,S5
112,Epidermis,-79.48,S5
113,Epidermis,-51.92,S5
114,Epidermis,-76.04,S5
115,Epidermis,43.15,S5
116,Epidermis,43.89,S5
117,Epidermis,56.12,S5
118,Epidermis,-85.64,S5
119,Epidermis,81.58,S5
120,Epidermis,30.58,S5
121,Epidermis,-89.4,S5
122,Epidermis,40.33,S5
123,Epidermis,-36.15,S5
20,Epidermis,-22.93,S3
21,Epidermis,-41.05,S3
22,Epidermis,68.9,S3
23,Epidermis,-1.97,S3
24,Epidermis,-65.61,S3
25,Epidermis,66.96,S3
26,Epidermis,-11.16,S3
27,Epidermis,72.83,S3
28,Epidermis,-57.24,S3
29,Epidermis,81.33,S3
30,Epidermis,-30.75,S3
31,Epidermis,3.33,S3
32,Epidermis,-3.22,S3
33,Epidermis,16.41,S3
34,Epidermis,-81.86,S3
35,Epidermis,-24.25,S3
36,Epidermis,-53.29,S3
37,Epidermis,-23.56,S3
38,Epidermis,72.24,S3
39,Epidermis,69.37,S3
40,Epidermis,4.24,S3
41,Epidermis,-16.13,S3
42,Epidermis,-86.97,S3
43,Epidermis,-36.92,S3
44,Epidermis,56.12,S3
45,Epidermis,68.47,S3
46,Epidermis,-76.49,S3
47,Epidermis,-41.91,S3
48,Epidermis,-88.68,S3
49,Epidermis,3.98,S3
31,Epidermis,70.16,S3
32,Epidermis,-36.12,S3
33,Epidermis,-9.43,S3
34,Epidermis,61.1,S3
35,Epidermis,-85.72,S3
36,Epidermis,-89.02,S3
37,Epidermis,-33.81,S3
38,Epidermis,-63.21,S3
39,Epidermis,34.49,S3
40,Epidermis,84.72,S3
41,Epidermis,-11.97,S3
42,Epidermis,-72.24,S3
43,Epidermis,-82.33,S3
44,Epidermis,-3.55,S3
45,Epidermis,78.08,S3
46,Epidermis,7.68,S3
47,Epidermis,-12.92,S3
48,Epidermis,-84.51,S3
49,Epidermis,-74.26,S3
50,Epidermis,-36.14,S3
51,Epidermis,15.99,S3
52,Epidermis,-77.37,S3
53,Epidermis,6.97,S3
54,Epidermis,-87.84,S3
55,Epidermis,75.93,S3
56,Epidermis,-71.88,S3
57,Epidermis,22.13,S3
58,Epidermis,-88.73,S3
59,Epidermis,86.77,S3
60,Epidermis,17.96,S3
1,Epidermis,-34.53,S3
2,Epidermis,-87.15,S3
3,Epidermis,-6.56,S3
4,Epidermis,-66.03,S3
5,Epidermis,-53.36,S3
6,Epidermis,-56.06,S3
7,Epidermis,-18.8,S3
8,Epidermis,56.1,S3
9,Epidermis,-70.75,S3
10,Epidermis,-83.69,S3
11,Epidermis,-88.46,S3
12,Epidermis,-34.56,S3
13,Epidermis,76.67,S3
14,Epidermis,10.16,S3
15,Epidermis,-82.74,S3
16,Epidermis,-45.72,S3
17,Epidermis,-87.31,S3
18,Epidermis,76.82,S3
19,Epidermis,-10.08,S3
20,Epidermis,-60.45,S3
22,Epidermis,-72.3,S3
23,Epidermis,-88.59,S3
24,Epidermis,-79.6,S3
25,Epidermis,68.5,S3
26,Epidermis,-65.37,S3
27,Epidermis,89.79,S3
28,Epidermis,-25.64,S3
29,Epidermis,89.66,S3
30,Epidermis,76.78,S3
31,Epidermis,85.45,S3
31,Epidermis,86.37,S2
32,Epidermis,83.92,S2
33,Epidermis,-20.72,S2
34,Epidermis,-65.82,S2
35,Epidermis,1.85,S2
36,Epidermis,-64.29,S2
37,Epidermis,6.62,S2
38,Epidermis,26.89,S2
39,Epidermis,2.29,S2
40,Epidermis,-45.64,S2
41,Epidermis,59.16,S2
42,Epidermis,48.04,S2
43,Epidermis,62.5,S2
44,Epidermis,-81.22,S2
45,Epidermis,57.34,S2
46,Epidermis,30.02,S2
47,Epidermis,62.37,S2
48,Epidermis,-84.63,S2
49,Epidermis,85.92,S2
50,Epidermis,-84.09,S2
51,Epidermis,68.95,S2
52,Epidermis,-23.92,S2
53,Epidermis,15.93,S2
54,Epidermis,23.18,S2
55,Epidermis,-8,S2
56,Epidermis,17.45,S2
57,Epidermis,1.5,S2
58,Epidermis,-81.2,S2
59,Epidermis,-43.85,S2
60,Epidermis,-15.66,S2
156,Epidermis,-21,S2
157,Epidermis,62.83,S2
158,Epidermis,-84.94,S2
159,Epidermis,-6.09,S2
160,Epidermis,58.56,S2
161,Epidermis,68.45,S2
162,Epidermis,-75.67,S2
163,Epidermis,49.75,S2
164,Epidermis,69.63,S2
165,Epidermis,-61.63,S2
166,Epidermis,45.26,S2
167,Epidermis,-66.43,S2
168,Epidermis,65.17,S2
169,Epidermis,24.1,S2
170,Epidermis,-75.96,S2
171,Epidermis,28.38,S2
172,Epidermis,63.65,S2
173,Epidermis,-11.85,S2
174,Epidermis,4.74,S2
175,Epidermis,-82.09,S2
176,Epidermis,-80.59,S2
177,Epidermis,-77.22,S2
178,Epidermis,55.3,S2
179,Epidermis,-31.02,S2
180,Epidermis,-12.72,S2
181,Epidermis,18.77,S2
182,Epidermis,-77.6,S2
183,Epidermis,89.38,S2
184,Epidermis,-21.57,S2
185,Epidermis,61.42,S2
286,Epidermis,-25.7,S2
287,Epidermis,-88.56,S2
288,Epidermis,4.84,S2
289,Epidermis,-5.7,S2
290,Epidermis,88.39,S2
291,Epidermis,-36.8,S2
292,Epidermis,-87.21,S2
293,Epidermis,-58.87,S2
294,Epidermis,84.66,S2
295,Epidermis,-0.28,S2
296,Epidermis,15.29,S2
297,Epidermis,-48.48,S2
298,Epidermis,76.57,S2
299,Epidermis,-41.56,S2
300,Epidermis,-10.15,S2
301,Epidermis,-19.38,S2
302,Epidermis,77.17,S2
303,Epidermis,8.96,S2
304,Epidermis,82.56,S2
305,Epidermis,23.7,S2
306,Epidermis,29.47,S2
307,Epidermis,-6.22,S2
308,Epidermis,-65.74,S2
309,Epidermis,-1.83,S2
310,Epidermis,-10.77,S2
311,Epidermis,21.28,S2
312,Epidermis,-89.44,S2
313,Epidermis,63.88,S2
314,Epidermis,0.38,S2
315,Epidermis,68.21,S2
162,Epidermis,-0.52,S2
163,Epidermis,-46.75,S2
164,Epidermis,-61.46,S2
165,Epidermis,-1.18,S2
166,Epidermis,-14.38,S2
167,Epidermis,-3.41,S2
168,Epidermis,-52.64,S2
169,Epidermis,-73.08,S2
170,Epidermis,-22.53,S2
171,Epidermis,-68.97,S2
172,Epidermis,3.97,S2
173,Epidermis,-10.76,S2
174,Epidermis,-22.64,S2
175,Epidermis,-13.45,S2
176,Epidermis,-45.95,S2
177,Epidermis,85.58,S2
178,Epidermis,-39.25,S2
179,Epidermis,89.53,S2
180,Epidermis,42.78,S2
181,Epidermis,87.67,S2
182,Epidermis,-70.79,S2
183,Epidermis,-64.54,S2
184,Epidermis,67.97,S2
185,Epidermis,-81.44,S2
186,Epidermis,30.05,S2
187,Epidermis,49.54,S2
188,Epidermis,56.15,S2
189,Epidermis,-6.07,S2
190,Epidermis,61.59,S2
191,Epidermis,63.73,S2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
