ROI number,Cell_Type,Angle,Stage
32,Epidermis,74.83,S3
33,Epidermis,83.03,S3
34,Epidermis,-2.86,S3
35,Epidermis,85.49,S3
36,Epidermis,-79.27,S3
37,Epidermis,89.1,S3
38,Epidermis,-86.45,S3
39,Epidermis,-80.55,S3
40,Epidermis,20.52,S3
41,Epidermis,-82.91,S3
42,Epidermis,22.7,S3
43,Epidermis,-68.09,S3
44,Epidermis,-75.92,S3
45,Epidermis,-74,S3
46,Epidermis,-68.86,S3
47,Epidermis,-77.63,S3
48,Epidermis,29.01,S3
49,Epidermis,-58.38,S3
50,Epidermis,-55.51,S3
51,Epidermis,-82.79,S3
52,Epidermis,-86.12,S3
53,Epidermis,87.42,S3
54,Epidermis,-89.62,S3
55,Epidermis,74.65,S3
56,Epidermis,83.93,S3
57,Epidermis,-33.89,S3
58,Epidermis,77.35,S3
59,Epidermis,-66.81,S3
60,Epidermis,-41.49,S3
61,Epidermis,-79.56,S3
116,Epidermis,-14.58,S3
117,Epidermis,78.46,S3
118,Epidermis,-84.67,S3
119,Epidermis,86.02,S3
120,Epidermis,-49.08,S3
121,Epidermis,-72.45,S3
122,Epidermis,-56.87,S3
123,Epidermis,-84.36,S3
124,Epidermis,-54.84,S3
125,Epidermis,69.34,S3
126,Epidermis,-85.21,S3
127,Epidermis,10.85,S3
128,Epidermis,4.01,S3
129,Epidermis,60.88,S3
130,Epidermis,-79.55,S3
131,Epidermis,30.66,S3
132,Epidermis,-82.71,S3
133,Epidermis,74.13,S3
134,Epidermis,-63.45,S3
136,Epidermis,-44.26,S3
137,Epidermis,87.18,S3
138,Epidermis,75.9,S3
139,Epidermis,-88.2,S3
140,Epidermis,49.83,S3
141,Epidermis,46.63,S3
142,Epidermis,77.32,S3
143,Epidermis,-50.17,S3
144,Epidermis,-56.46,S3
145,Epidermis,74.03,S3
146,Epidermis,81.11,S3
61,Epidermis,78.68,S3
62,Epidermis,76.94,S3
63,Epidermis,74.93,S3
64,Epidermis,-83.54,S3
65,Epidermis,-49.93,S3
66,Epidermis,-81.47,S3
67,Epidermis,-43.1,S3
68,Epidermis,67.56,S3
69,Epidermis,71.31,S3
70,Epidermis,63.19,S3
71,Epidermis,-31.97,S3
72,Epidermis,-67.19,S3
73,Epidermis,-43.86,S3
74,Epidermis,88.08,S3
75,Epidermis,87.2,S3
76,Epidermis,-47.05,S3
77,Epidermis,-81.43,S3
78,Epidermis,46.1,S3
79,Epidermis,70.67,S3
80,Epidermis,72.58,S3
81,Epidermis,88.7,S3
82,Epidermis,63.33,S3
83,Epidermis,82.07,S3
84,Epidermis,-72.28,S3
85,Epidermis,82.35,S3
86,Epidermis,15.53,S3
87,Epidermis,72.06,S3
88,Epidermis,55.17,S3
89,Epidermis,71.21,S3
90,Epidermis,-50.64,S3
50,Epidermis,41.9,S3
51,Epidermis,81.2,S3
52,Epidermis,-87.77,S3
53,Epidermis,-77.75,S3
54,Epidermis,37.99,S3
55,Epidermis,89.36,S3
56,Epidermis,71.04,S3
57,Epidermis,-85.28,S3
58,Epidermis,48.47,S3
59,Epidermis,26.1,S3
60,Epidermis,35.72,S3
61,Epidermis,72.96,S3
62,Epidermis,-82.95,S3
63,Epidermis,-5.69,S3
64,Epidermis,-54.56,S3
65,Epidermis,-83.7,S3
66,Epidermis,54.81,S3
67,Epidermis,40,S3
68,Epidermis,55.53,S3
69,Epidermis,29.89,S3
70,Epidermis,-73.33,S3
71,Epidermis,42.12,S3
72,Epidermis,-86.53,S3
73,Epidermis,5.46,S3
74,Epidermis,-19.02,S3
75,Epidermis,67.9,S3
76,Epidermis,85.46,S3
77,Epidermis,38.8,S3
78,Epidermis,88.19,S3
79,Epidermis,35.19,S3
140,Epidermis,77.45,S3
141,Epidermis,-58.64,S3
142,Epidermis,84.93,S3
143,Epidermis,9.22,S3
144,Epidermis,79.03,S3
145,Epidermis,-88.44,S3
146,Epidermis,-70.76,S3
147,Epidermis,80.7,S3
148,Epidermis,-67.78,S3
149,Epidermis,-87.1,S3
150,Epidermis,-33.22,S3
151,Epidermis,83.34,S3
152,Epidermis,75.1,S3
153,Epidermis,-88.02,S3
154,Epidermis,62.67,S3
155,Epidermis,84.87,S3
156,Epidermis,55.95,S3
157,Epidermis,-67.28,S3
158,Epidermis,-77.01,S3
159,Epidermis,87.87,S3
160,Epidermis,29.67,S3
161,Epidermis,-50.41,S3
162,Epidermis,-76.67,S3
163,Epidermis,-70.41,S3
164,Epidermis,38.03,S3
165,Epidermis,-64.73,S3
166,Epidermis,78.12,S3
167,Epidermis,-83.1,S3
168,Epidermis,-83.3,S3
169,Epidermis,-73.03,S3
124,Epidermis,87.38,S5
125,Epidermis,76.08,S5
126,Epidermis,-88.5,S5
127,Epidermis,35.81,S5
128,Epidermis,59.78,S5
129,Epidermis,53.42,S5
130,Epidermis,-77.03,S5
131,Epidermis,74.6,S5
132,Epidermis,-13.66,S5
133,Epidermis,68.33,S5
135,Epidermis,5.82,S5
136,Epidermis,72.09,S5
137,Epidermis,44.28,S5
138,Epidermis,-42.53,S5
139,Epidermis,78.99,S5
140,Epidermis,-64.68,S5
141,Epidermis,-67,S5
142,Epidermis,62.37,S5
143,Epidermis,77.33,S5
144,Epidermis,54.4,S5
146,Epidermis,-8.16,S5
147,Epidermis,-55.66,S5
148,Epidermis,81.44,S5
149,Epidermis,47.89,S5
150,Epidermis,-44.79,S5
151,Epidermis,49.82,S5
152,Epidermis,-47.21,S5
153,Epidermis,17.81,S5
154,Epidermis,-53.84,S5
155,Epidermis,-64.36,S5
153,Epidermis,12.94,S5
154,Epidermis,-66.88,S5
155,Epidermis,89.61,S5
156,Epidermis,-58.94,S5
157,Epidermis,41.82,S5
158,Epidermis,1.89,S5
159,Epidermis,44.37,S5
160,Epidermis,20.88,S5
