ROI number,Cell_Type,Angle,Stage
1,Outer,-74.88,S2
2,Outer,-76.94,S2
3,Outer,-71.5,S2
4,Outer,70.29,S2
5,Outer,82.37,S2
6,Outer,-72.85,S2
7,Outer,-82.65,S2
8,Outer,-60.03,S2
9,Outer,61.03,S2
10,Outer,-59.77,S2
11,Outer,-49.56,S2
12,Outer,-81.96,S2
13,Outer,75.33,S2
14,Outer,60.19,S2
15,Outer,-37.64,S2
16,Outer,-69.11,S2
17,Outer,-69.7,S2
18,Outer,-82.02,S2
19,Outer,-84.12,S2
20,Outer,-89.79,S2
21,Outer,60.89,S2
22,Outer,-48.87,S2
23,Outer,-73.73,S2
24,Outer,61.9,S2
25,Outer,-34.92,S2
26,Outer,60.27,S2
27,Outer,-73.62,S2
28,Outer,84.53,S2
29,Outer,48.44,S2
30,Outer,-17.01,S2
102,Outer,-89,S2
103,Outer,-89.34,S2
104,Outer,-88.35,S2
105,Outer,74.22,S2
106,Outer,69.58,S2
107,Outer,-85.76,S2
108,Outer,85.37,S2
109,Outer,75.39,S2
110,Outer,87.1,S2
111,Outer,71.99,S2
112,Outer,69.96,S2
113,Outer,-86.95,S2
114,Outer,85.97,S2
115,Outer,-89.18,S2
116,Outer,83.56,S2
117,Outer,59.63,S2
118,Outer,81.14,S2
119,Outer,-77.1,S2
120,Outer,-87.69,S2
121,Outer,-77.68,S2
122,Outer,-86.37,S2
123,Outer,20.78,S2
124,Outer,-73.49,S2
125,Outer,88.68,S2
126,Outer,83.52,S2
127,Outer,80.66,S2
128,Outer,-80.94,S2
129,Outer,-89.82,S2
130,Outer,-82.97,S2
131,Outer,84.82,S2
224,Outer,89.42,S2
225,Outer,58.65,S2
226,Outer,45.71,S2
227,Outer,-87.38,S2
228,Outer,76.67,S2
229,Outer,40.22,S2
230,Outer,38.97,S2
231,Outer,89.17,S2
232,Outer,63.24,S2
233,Outer,86.25,S2
236,Outer,-77.88,S2
237,Outer,72.69,S2
238,Outer,49.57,S2
239,Outer,-75.13,S2
240,Outer,83.75,S2
241,Outer,84.16,S2
242,Outer,61.31,S2
243,Outer,47.96,S2
244,Outer,74.92,S2
245,Outer,-64.53,S2
246,Outer,58,S2
247,Outer,78.8,S2
248,Outer,82.41,S2
249,Outer,-64.05,S2
250,Outer,75.44,S2
251,Outer,-89.93,S2
252,Outer,71.41,S2
253,Outer,87.19,S2
254,Outer,-80.18,S2
255,Outer,-89.68,S2
1,Outer,-69.4,S2
2,Outer,56.77,S2
3,Outer,-71.12,S2
4,Outer,50.74,S2
5,Outer,86.96,S2
6,Outer,-67.11,S2
7,Outer,85.8,S2
8,Outer,-71.03,S2
9,Outer,-67.63,S2
10,Outer,70.71,S2
11,Outer,73.22,S2
12,Outer,18.91,S2
13,Outer,88.14,S2
14,Outer,-69.33,S2
15,Outer,-74.85,S2
16,Outer,-70.73,S2
17,Outer,-89.6,S2
18,Outer,86.21,S2
19,Outer,62.07,S2
20,Outer,-42.2,S2
21,Outer,75.19,S2
22,Outer,-83.08,S2
23,Outer,-58.9,S2
24,Outer,26.08,S2
25,Outer,69.1,S2
26,Outer,-47.44,S2
27,Outer,-48.89,S2
28,Outer,86.94,S2
29,Outer,-61.36,S2
30,Outer,-54.75,S2
1,Outer,-48.56,S2
2,Outer,55.46,S2
3,Outer,84.1,S2
4,Outer,-40.33,S2
5,Outer,-74.26,S2
6,Outer,85.02,S2
7,Outer,63.76,S2
8,Outer,35.4,S2
9,Outer,-83.33,S2
10,Outer,79.06,S2
11,Outer,-30.06,S2
12,Outer,28.67,S2
13,Outer,6.87,S2
14,Outer,38.76,S2
15,Outer,-10.17,S2
16,Outer,45.41,S2
17,Outer,-84.91,S2
18,Outer,-70.82,S2
19,Outer,-34.43,S2
20,Outer,47.07,S2
21,Outer,-78.94,S2
22,Outer,25.94,S2
23,Outer,-74.71,S2
24,Outer,80.66,S2
25,Outer,-80.95,S2
26,Outer,-56.52,S2
27,Outer,84.88,S2
28,Outer,81.36,S2
29,Outer,54.56,S2
30,Outer,-41.67,S2
82,Outer,-72.46,S3
83,Outer,-57.15,S3
84,Outer,-77.99,S3
85,Outer,-72.35,S3
86,Outer,88.56,S3
87,Outer,-57.05,S3
88,Outer,-82.72,S3
89,Outer,-73.82,S3
90,Outer,-66.76,S3
91,Outer,75.55,S3
92,Outer,-46.86,S3
93,Outer,88.1,S3
94,Outer,-88.66,S3
95,Outer,78.83,S3
97,Outer,-40.04,S3
98,Outer,-51.86,S3
100,Outer,88.59,S3
101,Outer,-81.36,S3
102,Outer,89.56,S3
103,Outer,82.6,S3
104,Outer,47.53,S3
105,Outer,66.86,S3
106,Outer,82.59,S3
107,Outer,-30.64,S3
108,Outer,-54.56,S3
109,Outer,-70.85,S3
110,Outer,-79.77,S3
111,Outer,80.81,S3
112,Outer,-63.68,S3
113,Outer,-73.32,S3
1,Outer,-76.39,S3
2,Outer,-81.39,S3
3,Outer,-65.29,S3
4,Outer,-64.13,S3
5,Outer,-84.97,S3
6,Outer,-65.76,S3
7,Outer,-67.89,S3
8,Outer,-72.66,S3
9,Outer,59.24,S3
10,Outer,-81.28,S3
11,Outer,74.12,S3
12,Outer,87,S3
13,Outer,6.7,S3
14,Outer,76.51,S3
15,Outer,75.51,S3
16,Outer,71.98,S3
17,Outer,-72.73,S3
18,Outer,82.43,S3
19,Outer,66.26,S3
20,Outer,79.78,S3
21,Outer,66.57,S3
22,Outer,75.32,S3
23,Outer,61.89,S3
24,Outer,67.87,S3
25,Outer,39.98,S3
26,Outer,24.11,S3
27,Outer,81.51,S3
28,Outer,85.21,S3
29,Outer,65.74,S3
30,Outer,83.32,S3
93,Outer,-58.33,S3
94,Outer,-74.99,S3
95,Outer,-58.2,S3
96,Outer,-66.52,S3
97,Outer,-36.63,S3
98,Outer,-68.41,S3
99,Outer,-63.51,S3
100,Outer,-75.26,S3
101,Outer,-60.27,S3
102,Outer,-47.9,S3
103,Outer,-74.82,S3
104,Outer,-33.47,S3
105,Outer,-63.73,S3
106,Outer,-41.3,S3
107,Outer,-66.66,S3
108,Outer,-46.04,S3
109,Outer,-63.29,S3
110,Outer,-89.37,S3
111,Outer,-76.5,S3
112,Outer,-58,S3
113,Outer,-62.03,S3
114,Outer,-33.31,S3
115,Outer,-80.88,S3
116,Outer,-66.19,S3
117,Outer,-22.54,S3
118,Outer,-56.1,S3
119,Outer,-63.81,S3
120,Outer,-63.81,S3
121,Outer,-84.6,S3
122,Outer,24.22,S3
64,Outer,-67.45,S5
65,Outer,-47.73,S5
66,Outer,-71.97,S5
67,Outer,-62.74,S5
68,Outer,-61.15,S5
69,Outer,-60.33,S5
70,Outer,-62.51,S5
71,Outer,-79.92,S5
72,Outer,-65.56,S5
73,Outer,-57.61,S5
74,Outer,-38.73,S5
75,Outer,-66.37,S5
76,Outer,-51.81,S5
77,Outer,-47.55,S5
78,Outer,-48.34,S5
79,Outer,-63.29,S5
80,Outer,-66.66,S5
81,Outer,-67.01,S5
82,Outer,-64.4,S5
83,Outer,-48.35,S5
84,Outer,-63.81,S5
85,Outer,-78.32,S5
86,Outer,-89.02,S5
87,Outer,-85.65,S5
88,Outer,-71.39,S5
89,Outer,-73.13,S5
90,Outer,-71.8,S5
91,Outer,54.18,S5
92,Outer,-78.74,S5
93,Outer,-70.77,S5
1,Outer,-63.81,S5
2,Outer,-53.76,S5
3,Outer,-56.18,S5
4,Outer,86.91,S5
5,Outer,-87.52,S5
6,Outer,-15.94,S5
7,Outer,-41.92,S5
8,Outer,-60,S5
9,Outer,-84.14,S5
10,Outer,-65.83,S5
11,Outer,-55.85,S5
12,Outer,-89.22,S5
13,Outer,-86.22,S5
14,Outer,-69.9,S5
15,Outer,72.58,S5
16,Outer,-86.53,S5
17,Outer,71.02,S5
18,Outer,-50.67,S5
19,Outer,-87.9,S5
20,Outer,-58.41,S5
21,Outer,-52.57,S5
22,Outer,42.73,S5
23,Outer,-15.03,S5
24,Outer,84.77,S5
25,Outer,-45.33,S5
26,Outer,-27.64,S5
27,Outer,-85.19,S5
28,Outer,88.15,S5
29,Outer,83.64,S5
30,Outer,-40.84,S5
183,Outer,-84.48,S5
184,Outer,-56.99,S5
185,Outer,-51.74,S5
186,Outer,-89.62,S5
187,Outer,-81.94,S5
188,Outer,-76.53,S5
189,Outer,-61.62,S5
190,Outer,-71.48,S5
191,Outer,-62.57,S5
192,Outer,-70.29,S5
193,Outer,-78.27,S5
194,Outer,-44.89,S5
195,Outer,-67.45,S5
196,Outer,-70.39,S5
197,Outer,-71.7,S5
198,Outer,-87.71,S5
199,Outer,-76.5,S5
200,Outer,-74.29,S5
201,Outer,-66.83,S5
202,Outer,-81.22,S5
203,Outer,-80.94,S5
204,Outer,-71.96,S5
205,Outer,-78.75,S5
206,Outer,-61.56,S5
207,Outer,-56.6,S5
208,Outer,85.42,S5
209,Outer,79.21,S5
210,Outer,86.35,S5
211,Outer,-75.66,S5
212,Outer,-63.22,S5
267,Inner,61.61,S2
267,Inner,-30.56,S2
267,Inner,-88.03,S2
267,Inner,83.83,S2
267,Inner,-67.59,S2
267,Inner,-85.4,S2
267,Inner,21.12,S2
267,Inner,69.56,S2
267,Inner,79.47,S2
267,Inner,70.88,S2
267,Inner,68.48,S2
267,Inner,-34.06,S2
267,Inner,65.94,S2
267,Inner,51.84,S2
267,Inner,89.08,S2
267,Inner,-89.56,S2
267,Inner,58.93,S2
267,Inner,78.57,S2
267,Inner,58.31,S2
267,Inner,72.11,S2
267,Inner,40.25,S2
267,Inner,88.43,S2
267,Inner,61.2,S2
267,Inner,64.43,S2
267,Inner,81.21,S2
267,Inner,-51.86,S2
267,Inner,-70.62,S2
267,Inner,78.18,S2
267,Inner,68.51,S2
267,Inner,-64.44,S2
267,Inner,25.16,S2
267,Inner,-68.03,S2
267,Inner,-68.24,S2
267,Inner,79.58,S2
267,Inner,-81.92,S2
267,Inner,57.4,S2
267,Inner,-57.17,S2
267,Inner,76.55,S2
267,Inner,-45.67,S2
267,Inner,87.57,S2
267,Inner,87.4,S2
267,Inner,83.03,S2
267,Inner,-89.77,S2
267,Inner,-81.64,S2
267,Inner,-54.77,S2
267,Inner,-82.11,S2
267,Inner,-86.41,S2
267,Inner,88.83,S2
267,Inner,-49.07,S2
267,Inner,73.61,S2
267,Inner,74.27,S2
267,Inner,-80.82,S2
267,Inner,-80.89,S2
267,Inner,-76.97,S2
267,Inner,-83.32,S2
267,Inner,70.76,S2
267,Inner,-72,S2
267,Inner,-47.6,S2
267,Inner,-55.46,S2
267,Inner,82.37,S2
267,Inner,8.59,S2
267,Inner,72.75,S2
267,Inner,-27.9,S2
267,Inner,86.73,S2
267,Inner,68.2,S2
267,Inner,-79.49,S2
267,Inner,-70.88,S2
267,Inner,57.9,S2
267,Inner,-74.5,S2
267,Inner,-80.71,S2
267,Inner,-78.02,S2
267,Inner,71.32,S2
267,Inner,-20.12,S2
267,Inner,64.1,S2
267,Inner,69.7,S2
267,Inner,48.54,S2
267,Inner,57,S2
267,Inner,-81.19,S2
267,Inner,49.44,S2
267,Inner,52.69,S2
267,Inner,54.09,S2
267,Inner,59.98,S2
267,Inner,-81.24,S2
267,Inner,59.91,S2
267,Inner,-80.23,S2
267,Inner,-46.45,S2
267,Inner,-58.03,S2
267,Inner,47.16,S2
267,Inner,49.84,S2
267,Inner,67.66,S2
267,Inner,-88.09,S3
267,Inner,-89.05,S3
267,Inner,-80.06,S3
267,Inner,-79.65,S3
267,Inner,-81.82,S3
267,Inner,-84.45,S3
267,Inner,-80.46,S3
267,Inner,-84.85,S3
267,Inner,-82.78,S3
267,Inner,-80.15,S3
267,Inner,-71.67,S3
267,Inner,-53.16,S3
267,Inner,-57.06,S3
267,Inner,-80.16,S3
267,Inner,-64.86,S3
267,Inner,-70.41,S3
267,Inner,-73.28,S3
267,Inner,-74.6,S3
267,Inner,-72.47,S3
267,Inner,67.16,S3
267,Inner,-60.96,S3
267,Inner,84.62,S3
267,Inner,37.89,S3
267,Inner,61.2,S3
267,Inner,-63.62,S3
267,Inner,38.08,S3
267,Inner,76.12,S3
267,Inner,79.3,S3
267,Inner,-69.03,S3
267,Inner,-83.02,S3
267,Inner,-55.42,S3
267,Inner,-53.32,S3
267,Inner,-68.25,S3
267,Inner,-54.16,S3
267,Inner,-74.85,S3
267,Inner,39.28,S3
267,Inner,87.22,S3
267,Inner,-61.96,S3
267,Inner,56.19,S3
267,Inner,-51.2,S3
267,Inner,79.89,S3
267,Inner,-87.19,S3
267,Inner,-81.75,S3
267,Inner,87.39,S3
267,Inner,77.63,S3
267,Inner,66.68,S3
267,Inner,-84.83,S3
267,Inner,84.85,S3
267,Inner,-86.52,S3
267,Inner,82.21,S3
267,Inner,-51.25,S3
267,Inner,-58.11,S3
267,Inner,81.09,S3
267,Inner,-85.58,S3
267,Inner,41.71,S3
267,Inner,54.89,S3
267,Inner,-72.71,S3
267,Inner,81.58,S3
267,Inner,-88.97,S3
267,Inner,-54.07,S3
267,Inner,88.44,S3
267,Inner,79.04,S3
267,Inner,-81.83,S3
267,Inner,46.67,S3
267,Inner,73.84,S3
267,Inner,-67.21,S3
267,Inner,-62.44,S3
267,Inner,82.44,S3
267,Inner,-81.67,S3
267,Inner,88.28,S3
267,Inner,51.55,S3
267,Inner,-74.35,S3
267,Inner,-81.37,S3
267,Inner,69.46,S3
267,Inner,-63.04,S3
267,Inner,-76.42,S3
267,Inner,65.08,S3
267,Inner,-28.68,S3
267,Inner,-79.84,S3
267,Inner,-5.14,S3
267,Inner,44.04,S3
267,Inner,89.4,S3
267,Inner,-71.6,S3
267,Inner,-52.95,S3
267,Inner,89.24,S3
267,Inner,-89.39,S3
267,Inner,88.63,S3
267,Inner,24.26,S3
267,Inner,68.71,S3
267,Inner,84.7,S3
267,Inner,-44.66,S5
267,Inner,-60.46,S5
267,Inner,-60.03,S5
267,Inner,87.44,S5
267,Inner,-74.05,S5
267,Inner,-62.66,S5
267,Inner,-41.19,S5
267,Inner,-70.97,S5
267,Inner,-79.57,S5
267,Inner,-67.02,S5
267,Inner,-57.93,S5
267,Inner,-28.13,S5
267,Inner,-62.65,S5
267,Inner,-84.51,S5
267,Inner,-73.41,S5
267,Inner,-84.49,S5
267,Inner,-82.93,S5
267,Inner,66.97,S5
267,Inner,49.56,S5
267,Inner,-73.31,S5
267,Inner,-73.48,S5
267,Inner,-77.33,S5
267,Inner,54.52,S5
267,Inner,-67.9,S5
267,Inner,79.38,S5
267,Inner,69.27,S5
267,Inner,-71.18,S5
267,Inner,-75.91,S5
267,Inner,-72.11,S5
267,Inner,-73.02,S5
267,Inner,-60.21,S5
267,Inner,-42.43,S5
267,Inner,-65.67,S5
267,Inner,-50.06,S5
267,Inner,-69.54,S5
267,Inner,-64.1,S5
267,Inner,-43.3,S5
267,Inner,72.98,S5
267,Inner,-67.69,S5
267,Inner,-70.37,S5
267,Inner,-51.44,S5
267,Inner,48.84,S5
267,Inner,80.74,S5
267,Inner,-88.59,S5
267,Inner,-61.43,S5
267,Inner,35.05,S5
267,Inner,88.08,S5
267,Inner,-66.49,S5
267,Inner,69.71,S5
267,Inner,66.55,S5
267,Inner,-40.21,S5
267,Inner,-48.96,S5
267,Inner,79.52,S5
267,Inner,-50.91,S5
267,Inner,-44.08,S5
267,Inner,85.89,S5
267,Inner,85,S5
267,Inner,-45.29,S5
267,Inner,48.71,S5
267,Inner,-58.8,S5
267,Inner,-64.19,S5
267,Inner,-82.66,S5
267,Inner,-87.29,S5
267,Inner,78.97,S5
267,Inner,88.96,S5
267,Inner,-75.45,S5
267,Inner,83.51,S5
267,Inner,42.51,S5
267,Inner,69.69,S5
267,Inner,80.82,S5
267,Inner,-52.23,S5
267,Inner,-67.61,S5
267,Inner,-70.45,S5
267,Inner,-71.8,S5
267,Inner,-70.62,S5
267,Inner,-66.13,S5
267,Inner,-78.67,S5
267,Inner,-72.9,S5
267,Inner,87.07,S5
267,Inner,-70,S5
267,Inner,47.13,S5
267,Inner,-72.99,S5
267,Inner,60.91,S5
267,Inner,-72.28,S5
267,Inner,-76.79,S5
267,Inner,-72.34,S5
267,Inner,-89.02,S5
267,Inner,-78.89,S5
267,Inner,-76.1,S5
267,Inner,67.86,S5
